900,125
920,123
940,123
960,124
980,123
1000,124
1020,124
1040,127
1060,199
1080,198
1100,199
1120,199
1140,200
1160,198
1180,199
1200,115
1220,117
1240,114
1260,113
1280,113
1300,112
1320,114
1340,112
1360,113
1380,111
1400,113
1420,112
1440,111
1460,112
1480,112
1500,113
1520,112
1540,112
1560,111
1580,113
1600,113
1620,112
1640,112
1660,111
1680,113
1700,112
1720,112
1740,114
1760,113
1780,113
1800,113
1820,114
1840,115
1860,115
1880,115
1900,114
1920,117
1940,450
1960,450
1980,111
2000,450
2020,450
2040,450
2060,450
2080,406
2100,406
