900,91
920,119
940,119
960,118
980,123
1000,119
1020,119
1040,142
1060,140
1080,121
1100,121
1120,142
1140,142
1160,119
1180,121
1200,153
1220,153
1240,153
1260,153
1280,54
1300,54
1320,55
1340,53
1360,54
1380,53
1400,52
1420,51
1440,52
1460,53
1480,51
1500,52
1520,53
1540,52
1560,52
1580,51
1600,52
1620,51
1640,51
1660,52
1680,51
1700,52
1720,53
1740,52
1760,53
1780,53
1800,53
1820,57
1840,54
1860,55
1880,450
1900,450
1920,450
1940,450
1960,450
1980,450
2000,450
2020,450
2040,450
2060,450
2080,450
2100,162
