900,100
920,100
940,100
960,101
980,100
1000,99
1020,101
1040,100
1060,100
1080,100
1100,99
1120,99
1140,100
1160,99
1180,99
1200,99
1220,99
1240,100
1260,99
1280,100
1300,99
1320,99
1340,99
1360,100
1380,99
1400,100
1420,98
1440,101
1460,102
1480,101
1500,102
1520,99
1540,100
1560,102
1580,105
1600,104
1620,104
1640,450
1660,450
1680,450
1700,450
1720,450
1740,450
1760,450
1780,450
1800,450
1820,450
1840,450
1860,450
1880,450
1900,450
1920,450
1940,382
1960,385
1980,383
2000,306
2020,251
2040,106
2060,107
2080,107
2100,104
